CustomerID,Gender,Age,Married,Number of Dependents,Zip Code,Number of Referrals,Tenure in Months,Offer,Phone Service,Internet Service,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Customer Status,Churn Category,Churn Reason
0002-ORFBO,Female,37,Yes,0,93225,2,9,None,Yes,Yes,One Year,Yes,Credit Card,65.6,974.81,0.0,Stayed,,
0003-MKNFE,Male,46,No,0,91206,0,9,None,Yes,Yes,Month-to-Month,No,Credit Card,-4.0,648.61,38.33,Stayed,,
0004-TLHLJ,Male,50,No,0,92627,0,4,Offer E,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,415.45000000000005,0.0,Churned,Competitor,Competitor had better devices
0011-IGKFF,Male,78,Yes,0,94553,1,13,Offer D,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1599.51,0.0,Churned,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,Female,75,Yes,0,93010,3,3,None,Yes,Yes,Month-to-Month,Yes,Credit Card,83.9,289.53999999999996,0.0,Churned,Dissatisfaction,Network reliability
0013-MHZWF,Female,23,No,3,95345,0,9,Offer E,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,722.3800000000001,0.0,Stayed,,
0013-SMEOE,Female,67,Yes,0,93437,1,71,Offer A,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,8611.41,0.0,Stayed,,
0014-BMAQU,Male,52,Yes,0,94558,8,63,Offer B,Yes,Yes,Two Year,Yes,Credit Card,84.65,6214.280000000001,0.0,Stayed,,
0015-UOCOJ,Female,68,No,0,93063,0,7,Offer E,Yes,Yes,Two Year,Yes,Bank Withdrawal,48.2,414.06,0.0,Stayed,,
0016-QLJIS,Female,43,Yes,1,95681,3,65,None,Yes,Yes,Two Year,Yes,Credit Card,90.45,7807.799999999999,0.0,Stayed,,
0017-DINOC,Male,47,No,0,92091,0,54,None,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,Stayed,,
0017-IUDMW,Female,25,Yes,2,94086,2,72,None,Yes,Yes,Two Year,Yes,Credit Card,116.8,9609.47,0.0,Stayed,,
0018-NYROU,Female,58,Yes,0,95843,0,5,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,444.75,0.0,Stayed,,
0019-EFAEP,Female,32,No,0,91942,0,72,Offer A,Yes,Yes,Two Year,Yes,Bank Withdrawal,101.3,7423.25,0.0,Stayed,,
0019-GFNTW,Female,39,No,0,93441,0,56,None,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,Stayed,,
0020-INWCK,Female,58,Yes,2,93286,9,71,Offer A,Yes,Yes,Two Year,Yes,Credit Card,95.75,8784.86,0.0,Stayed,,
0020-JDNXP,Female,52,Yes,1,94956,0,34,None,No,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,Stayed,,
0021-IKXGC,Female,72,No,0,92078,0,1,Offer E,Yes,Yes,One Year,Yes,Bank Withdrawal,72.1,79.86999999999999,0.0,Joined,,
0022-TCJCI,Male,79,No,0,94015,0,45,None,Yes,Yes,One Year,No,Credit Card,62.7,3271.65,0.0,Churned,Dissatisfaction,Limited range of services
0023-HGHWL,Male,67,No,0,95037,0,1,None,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,Churned,Competitor,Competitor made better offer
0023-UYUPN,Female,79,Yes,0,93601,0,50,None,Yes,No,One Year,No,Bank Withdrawal,25.2,2877.8,0.0,Stayed,,
0023-XUOPT,Female,26,Yes,0,96140,1,13,None,Yes,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1781.8799999999999,0.0,Churned,Other,Don't know
0027-KWYKW,Female,30,Yes,2,93201,1,23,Offer D,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,2652.88,0.0,Stayed,,
0030-FNXPP,Female,22,No,0,93530,0,3,None,Yes,No,Month-to-Month,No,Credit Card,19.85,66.56,0.0,Joined,,
0031-PVLZI,Female,34,Yes,0,95550,0,4,Offer E,Yes,No,Month-to-Month,No,Credit Card,20.35,126.07,0.0,Churned,Price,Long distance charges
0032-PGELS,Female,37,Yes,1,92060,1,1,None,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,Churned,Attitude,Attitude of service provider
0036-IHMOT,Female,37,Yes,3,93648,10,55,None,Yes,Yes,One Year,Yes,Bank Withdrawal,103.7,7603.95,0.0,Stayed,,
0040-HALCW,Male,42,Yes,3,95358,3,54,None,Yes,No,Two Year,No,Credit Card,20.4,2154.3999999999996,0.0,Stayed,,
0042-JVWOJ,Male,64,No,0,95442,0,26,Offer C,Yes,No,One Year,Yes,Bank Withdrawal,19.6,1452.0500000000002,21.25,Stayed,,
0042-RLHYP,Female,47,Yes,3,95503,5,69,None,Yes,No,Two Year,No,Bank Withdrawal,19.7,4045.81,0.0,Stayed,,
0048-LUMLS,Male,23,Yes,3,94038,1,37,Offer C,Yes,Yes,One Year,No,Credit Card,91.2,4838.92,0.0,Stayed,,
0048-PIHNL,Female,48,Yes,0,90058,5,49,Offer B,Yes,No,One Year,No,Bank Withdrawal,20.45,3330.32,0.0,Stayed,,
0052-DCKON,Male,28,Yes,0,90063,9,66,None,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,10830.97,0.0,Stayed,,
0052-YNYOT,Female,28,No,0,92231,0,67,None,Yes,No,One Year,No,Bank Withdrawal,20.55,2892.44,30.53,Stayed,,
0056-EPFBG,Male,33,Yes,1,96003,4,20,None,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,Stayed,,
0057-QBUQH,Female,31,No,3,95046,0,43,None,Yes,No,Two Year,Yes,Bank Withdrawal,25.1,2387.67,0.0,Stayed,,
0058-EVZWM,Female,37,Yes,0,95209,2,55,Offer B,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,5239.0,0.0,Stayed,,
0060-FUALY,Female,60,Yes,0,90003,4,59,Offer B,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,6564.66,0.0,Stayed,,
0064-SUDOG,Female,48,Yes,3,90255,3,12,None,Yes,No,Two Year,No,Bank Withdrawal,20.3,455.86,0.0,Stayed,,
0064-YIJGF,Male,60,Yes,3,92398,7,27,Offer C,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,2611.02,0.0,Stayed,,
0067-DKWBL,Male,69,No,0,92129,0,2,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,179.07999999999998,0.0,Churned,Competitor,Competitor made better offer
0068-FIGTF,Female,20,No,0,94539,0,27,Offer C,Yes,Yes,One Year,No,Credit Card,78.2,3399.5199999999995,0.0,Stayed,,
0071-NDAFP,Male,31,Yes,3,95405,1,25,None,Yes,No,Two Year,No,Credit Card,25.5,1222.85,44.42,Stayed,,
0074-HDKDG,Male,46,Yes,0,95126,5,25,None,Yes,Yes,One Year,Yes,Bank Withdrawal,61.6,1772.25,44.9,Stayed,,
0076-LVEPS,Male,57,No,1,91042,0,29,None,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,12.26,Stayed,,
0078-XZMHT,Male,19,Yes,0,93291,5,72,None,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,8646.119999999999,0.0,Stayed,,
0080-EMYVY,Female,64,No,0,95240,0,14,None,Yes,Yes,One Year,No,Credit Card,51.45,1064.41,0.0,Stayed,,
0080-OROZO,Female,38,No,0,95318,0,35,Offer C,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,4806.7,0.0,Stayed,,
0082-LDZUE,Male,54,No,0,94515,0,1,Offer E,Yes,Yes,Month-to-Month,Yes,Credit Card,44.3,87.25,0.0,Joined,,
0082-OQIQY,Male,50,No,0,95230,0,29,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.2,2687.0499999999997,0.0,Stayed,,
0083-PIVIK,Male,25,No,0,96134,0,64,None,Yes,Yes,One Year,No,Bank Withdrawal,81.25,5958.91,0.0,Stayed,,
0089-IIQKO,Female,35,Yes,3,96107,1,39,None,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,4718.22,0.0,Stayed,,
0093-EXYQL,Female,72,No,0,93023,0,40,None,Yes,Yes,Two Year,Yes,Bank Withdrawal,91.55,5439.2,0.0,Stayed,,
0093-XWZFY,Male,51,No,0,92241,0,40,None,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,5544.45,0.0,Churned,Competitor,Competitor had better devices
0094-OIFMO,Female,78,No,1,91605,0,11,Offer D,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.0,1367.79,0.0,Churned,Dissatisfaction,Product dissatisfaction
0096-BXERS,Female,30,Yes,0,94937,10,6,Offer E,Yes,Yes,Month-to-Month,No,Bank Withdrawal,50.35,570.51,0.0,Stayed,,
0096-FCPUF,Male,58,No,0,95404,0,30,None,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1967.65,0.0,Stayed,,
0098-BOWSO,Male,26,No,0,95131,0,27,None,Yes,No,Month-to-Month,Yes,Bank Withdrawal,19.4,1087.62,0.0,Stayed,,
0100-DUVFC,Male,66,Yes,0,90744,3,70,None,Yes,Yes,One Year,Yes,Bank Withdrawal,104.8,10073.25,6.11,Stayed,,
0103-CSITQ,Female,20,Yes,0,95357,10,57,Offer B,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6709.2699999999995,0.0,Stayed,,
0104-PPXDV,Male,61,Yes,0,92113,10,58,None,Yes,Yes,One Year,No,Credit Card,50.3,3944.01,10.23,Stayed,,
0106-GHRQR,Male,24,No,0,90275,0,16,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1623.46,0.0,Stayed,,
0106-UGRDO,Female,55,Yes,0,95452,3,69,Offer A,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,10840.73,0.0,Stayed,,
0107-WESLM,Male,32,No,0,95255,0,1,Offer E,Yes,No,Month-to-Month,Yes,Bank Withdrawal,19.85,51.620000000000005,0.0,Churned,Attitude,Attitude of support person
0107-YHINA,Male,59,No,0,90062,0,1,None,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,140.46,0.0,Churned,Competitor,Competitor had better devices
0111-KLBQG,Male,71,Yes,1,92256,9,32,Offer C,Yes,Yes,One Year,Yes,Mailed Check,93.95,3880.97,0.0,Stayed,,
0112-QAWRZ,Male,49,Yes,2,92266,8,16,Offer D,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,2221.56,0.0,Stayed,,
0112-QWPNC,Male,61,Yes,0,93563,1,49,Offer B,Yes,Yes,One Year,No,Bank Withdrawal,84.35,5997.3,0.0,Churned,Competitor,Competitor offered higher download speeds
0114-IGABW,Female,40,Yes,0,93428,2,71,Offer A,No,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0.0,Stayed,,
0114-PEGZZ,Female,39,No,0,96084,0,33,None,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,5285.27,0.0,Stayed,,
0114-RSRRW,Female,21,Yes,0,95548,9,10,Offer D,Yes,No,Month-to-Month,Yes,Bank Withdrawal,19.95,683.75,0.0,Stayed,,
